epoch_ms,api_current,api_voltage_mV,api_temp_C,api_status,api_pct,sys_current_now,sys_voltage_now
1786760085041,-1598125,3778,34.8,DISCHARGING,42,,
1786760087117,-1409062,3778,34.8,DISCHARGING,42,,
1786760089190,-1489375,3778,34.8,DISCHARGING,42,,
1786760091353,-1308750,3778,34.8,DISCHARGING,42,,
1786760093499,-1346250,3778,34.8,DISCHARGING,42,,
1786760095627,-1262187,3778,34.8,DISCHARGING,42,,
1786760097766,-1353437,3778,34.8,DISCHARGING,42,,
1786760099925,-1660000,3778,34.8,DISCHARGING,42,,
1786760102083,-1146875,3778,34.8,DISCHARGING,42,,
1786760104241,-1436250,3778,34.8,DISCHARGING,42,,
1786760106422,-1481250,3778,34.8,DISCHARGING,42,,
1786760108554,-1466250,3778,34.8,DISCHARGING,42,,
1786760110710,-1453437,3778,34.8,DISCHARGING,42,,
1786760112805,-1350312,3778,34.8,DISCHARGING,42,,
1786760114904,-1393125,3778,34.8,DISCHARGING,42,,
1786760117006,-1410625,3778,34.8,DISCHARGING,42,,
1786760119101,-1297500,3778,34.8,DISCHARGING,42,,
1786760121207,-1319687,3778,34.8,DISCHARGING,42,,
1786760123361,-1416562,3778,34.8,DISCHARGING,42,,
1786760125509,-1492187,3778,34.8,DISCHARGING,42,,
1786760127639,-1494375,3778,34.8,DISCHARGING,42,,
1786760129750,-1664062,3778,34.8,DISCHARGING,42,,
1786760131843,-1393125,3778,34.8,DISCHARGING,42,,
1786760134008,-1305937,3778,34.8,DISCHARGING,42,,
1786760136174,-1125625,3778,34.8,DISCHARGING,42,,
1786760138332,-1391250,3778,34.8,DISCHARGING,42,,
1786760140468,-1441250,3778,34.8,DISCHARGING,42,,
1786760142619,-1082500,3778,34.8,DISCHARGING,42,,
1786760144778,-1265312,3778,34.8,DISCHARGING,42,,
1786760146921,-1500625,3817,35.1,DISCHARGING,41,,
1786760149102,-1435625,3817,35.1,DISCHARGING,41,,
1786760151229,-1336875,3817,35.1,DISCHARGING,41,,
1786760153373,-1411562,3817,35.1,DISCHARGING,41,,
1786760155488,-1152812,3817,35.1,DISCHARGING,41,,
1786760157627,-1207187,3817,35.1,DISCHARGING,41,,
1786760159787,-1457812,3817,35.1,DISCHARGING,41,,
1786760161959,-2547812,3817,35.1,DISCHARGING,41,,
1786760164360,-1902812,3817,35.1,DISCHARGING,41,,
1786760166978,-1983125,3817,35.1,DISCHARGING,41,,
1786760169074,-1216562,3817,35.1,DISCHARGING,41,,
1786760171246,-1350625,3817,35.1,DISCHARGING,41,,
1786760173407,-1189687,3817,35.1,DISCHARGING,41,,
1786760175553,-1414687,3817,35.1,DISCHARGING,41,,
1786760177669,-1289062,3817,35.1,DISCHARGING,41,,
1786760179801,-1334687,3817,35.1,DISCHARGING,41,,
1786760181978,-1182500,3817,35.1,DISCHARGING,41,,
1786760184120,-1269687,3817,35.1,DISCHARGING,41,,
1786760186265,-1248750,3817,35.1,DISCHARGING,41,,
1786760188447,-1351250,3817,35.1,DISCHARGING,41,,
1786760190604,-1181250,3817,35.1,DISCHARGING,41,,
1786760192786,-1341562,3817,35.1,DISCHARGING,41,,
1786760194925,-1254062,3817,35.1,DISCHARGING,41,,
1786760197064,-864062,3817,35.1,DISCHARGING,41,,
1786760199236,-1178750,3817,35.1,DISCHARGING,41,,
1786760201362,-977500,3817,35.1,DISCHARGING,41,,
1786760203529,-1214687,3817,35.1,DISCHARGING,41,,
1786760205677,-1338125,3817,35.1,DISCHARGING,41,,
1786760207842,-1903125,3817,35.1,DISCHARGING,41,,
1786760209972,-2275625,3817,35.1,DISCHARGING,41,,
1786760212293,-3894375,3645,34.4,DISCHARGING,41,,
1786760216057,-2885000,3645,34.4,DISCHARGING,41,,
1786760219464,-2694687,3645,34.4,DISCHARGING,41,,
1786760222811,-2188750,3645,34.4,DISCHARGING,41,,
1786760226260,-2161875,3645,34.4,DISCHARGING,41,,
1786760229778,-2494062,3645,34.4,DISCHARGING,41,,
1786760234914,-2095625,3645,34.4,DISCHARGING,41,,
1786760239054,-1837187,3706,34.1,DISCHARGING,41,,
1786760243280,-1537187,3706,34.1,DISCHARGING,41,,
1786760247525,-911875,3706,34.1,DISCHARGING,41,,
1786760249868,-869375,3706,34.1,DISCHARGING,41,,
1786760252074,-772500,3706,34.1,DISCHARGING,41,,
1786760254294,-683750,3706,34.1,DISCHARGING,41,,
1786760256582,-641562,3706,34.1,DISCHARGING,41,,
1786760258795,-700625,3706,34.1,DISCHARGING,41,,
1786760261057,-609062,3706,34.1,DISCHARGING,41,,
1786760263364,-797187,3786,33.6,DISCHARGING,41,,
1786760265612,-654687,3786,33.6,DISCHARGING,41,,
1786760267854,-706875,3811,33.6,DISCHARGING,40,,
1786760270163,-797187,3811,33.6,DISCHARGING,40,,
1786760272365,-1148750,3811,33.6,DISCHARGING,40,,
1786760274536,-1089375,3811,33.6,DISCHARGING,40,,
1786760276679,-986250,3811,33.6,DISCHARGING,40,,
1786760278779,-1101875,3811,33.6,DISCHARGING,40,,
1786760280842,-1066875,3811,33.6,DISCHARGING,40,,
1786760282996,-959375,3811,33.6,DISCHARGING,40,,
1786760285178,-1012187,3811,33.6,DISCHARGING,40,,
1786760287348,-1046875,3811,33.6,DISCHARGING,40,,
1786760289540,-905312,3811,33.6,DISCHARGING,40,,
1786760291716,-896875,3811,33.6,DISCHARGING,40,,
1786760293931,-1375625,3811,33.6,DISCHARGING,40,,
1786760296084,-1334375,3811,33.6,DISCHARGING,40,,
1786760298218,-1184687,3811,33.6,DISCHARGING,40,,
1786760300346,-1227187,3811,33.6,DISCHARGING,40,,
1786760302452,-1182812,3811,33.6,DISCHARGING,40,,
1786760304574,-1025312,3811,33.6,DISCHARGING,40,,
1786760306707,-1416875,3811,33.6,DISCHARGING,40,,
1786760308858,-1383125,3811,33.6,DISCHARGING,40,,
1786760311017,-1361250,3811,33.6,DISCHARGING,40,,
1786760313149,-1343125,3811,33.6,DISCHARGING,40,,
1786760315300,-1275937,3811,33.6,DISCHARGING,40,,
1786760317438,-1185937,3811,33.6,DISCHARGING,40,,
1786760319582,-1421250,3811,33.6,DISCHARGING,40,,
1786760321706,-1434687,3811,33.6,DISCHARGING,40,,
1786760323821,-1297187,3811,33.6,DISCHARGING,40,,
1786760325965,-1052812,3811,33.6,DISCHARGING,40,,
1786760328046,-1268750,3811,33.6,DISCHARGING,40,,
1786760330206,-1210312,3811,33.6,DISCHARGING,40,,
1786760332361,-970937,3811,33.6,DISCHARGING,40,,
1786760334469,-1180000,3811,33.6,DISCHARGING,40,,
1786760336603,-1411875,3811,33.6,DISCHARGING,40,,
1786760338740,-1922812,3811,33.6,DISCHARGING,40,,
